date,value
2006-01,102
2006-02,116
2006-03,131
2006-04,160
2006-05,196
2006-06,221
2006-07,251
2006-08,288
2006-09,328
2006-10,362
2006-11,438
2006-12,517
2007-01,584
2007-02,687
2007-03,823
2007-04,972
2007-05,1094
2007-06,1340
2007-07,1685
2007-08,2085
2007-09,2604
2007-10,3503
2007-11,4441
2007-12,5343
2008-01,6467
2008-02,7705
2008-03,9065
2008-04,10565
2008-05,12952
2008-06,15883
2008-07,18812
2008-08,22405
2008-09,25071
2008-10,27429
2008-11,29838
2008-12,31888
2009-01,34671
2009-02,37205
2009-03,40658
2009-04,45126
2009-05,51384
2009-06,56272
2009-07,62003
2009-08,69573
2009-09,77463
2009-10,83677
2009-11,89451
2009-12,93453
2010-01,98756
2010-02,103478
2010-03,108663
2010-04,113746
2010-05,118571
2010-06,123352
2010-07,127739
2010-08,133083
2010-09,137745
2010-10,142277
2010-11,147130
2010-12,152000
2011-01,156937
2011-02,162144
2011-03,167661
2011-04,173788
2011-05,179428
2011-06,184925
2011-07,191582
2011-08,197021
2011-09,201776
2011-10,207263
2011-11,212318
2011-12,217518
2012-01,224672
2012-02,230007
2012-03,241276
2012-04,250023
2012-05,257118
2012-06,264662
2012-07,271011
2012-08,278053
2012-09,286214
2012-10,293234
2012-11,299815
2012-12,305094
2013-01,312513
2013-02,318469
2013-03,324592
2013-04,331000
2013-05,340359
2013-06,347719
2013-07,354639
2013-08,362005
2013-09,369204
2013-10,376247
2013-11,384314
2013-12,391416
2014-01,402021
2014-02,410664
2014-03,420585
2014-04,429668
2014-05,438131
2014-06,446299
2014-07,454008
2014-08,464857
2014-09,472655
2014-10,481415
2014-11,490089
2014-12,497761
