date,value
2006-01,1506
2006-02,1623
2006-03,1818
2006-04,2160
2006-05,2581
2006-06,2898
2006-07,3231
2006-08,3585
2006-09,4013
2006-10,4522
2006-11,4985
2006-12,5346
2007-01,5776
2007-02,6373
2007-03,7021
2007-04,7654
2007-05,8487
2007-06,9607
2007-07,11294
2007-08,12772
2007-09,15071
2007-10,17893
2007-11,20648
2007-12,22934
2008-01,25971
2008-02,29268
2008-03,32802
2008-04,36593
2008-05,42274
2008-06,48923
2008-07,55726
2008-08,64612
2008-09,70637
2008-10,76554
2008-11,82948
2008-12,88383
2009-01,95923
2009-02,103065
2009-03,112590
2009-04,121059
2009-05,130371
2009-06,140766
2009-07,151993
2009-08,165916
2009-09,179973
2009-10,192224
2009-11,203640
2009-12,213973
2010-01,227386
2010-02,239164
2010-03,255314
2010-04,279258
2010-05,295719
2010-06,312426
2010-07,326762
2010-08,341058
2010-09,371756
2010-10,365414
2010-11,377860
2010-12,390046
2011-01,402695
2011-02,415811
2011-03,430336
2011-04,447360
2011-05,463636
2011-06,479797
2011-07,498785
2011-08,515240
2011-09,530194
2011-10,547115
2011-11,562646
2011-12,577829
2012-01,597482
2012-02,612939
2012-03,644751
2012-04,671428
2012-05,693442
2012-06,715681
2012-07,773036
2012-08,849178
2012-09,935766
2012-10,1018319
2012-11,1100126
2012-12,1177555
2013-01,1217515
2013-02,1243939
2013-03,1317810
2013-04,1405678
2013-05,1505300
2013-06,1598905
2013-07,1699493
2013-08,1730834
2013-09,1761534
2013-10,1792136
2013-11,1824599
2013-12,1862875
2014-01,1912472
2014-02,1959825
2014-03,2011263
2014-04,2055455
2014-05,2101357
2014-06,2158049
2014-07,2227440
2014-08,2302850
2014-09,2370298
2014-10,2437382
2014-11,2494505
2014-12,2547742
