date,value
2006-01,28111
2006-02,28111
2006-03,28111
2006-04,28111
2006-05,28111
2006-06,28111
2006-07,28111
2006-08,28111
2006-09,28111
2006-10,28111
2006-11,28111
2006-12,290030
2007-01,290030
2007-02,290030
2007-03,290030
2007-04,290030
2007-05,290030
2007-06,290030
2007-07,290030
2007-08,290030
2007-09,290030
2007-10,290030
2007-11,290030
2007-12,290030
2008-01,522348
2008-02,522348
2008-03,522348
2008-04,522348
2008-05,522348
2008-06,522348
2008-07,522348
2008-08,522348
2008-09,522348
2008-10,522348
2008-11,522348
2008-12,522348
2009-01,648011
2009-02,648011
2009-03,648011
2009-04,648011
2009-05,648011
2009-06,648011
2009-07,648011
2009-08,648011
2009-09,648011
2009-10,648011
2009-11,648011
2009-12,648011
2010-01,778560
2010-02,778560
2010-03,778560
2010-04,778560
2010-05,778560
2010-06,778560
2010-07,778560
2010-08,778560
2010-09,778560
2010-10,778560
2010-11,778560
2010-12,778560
2011-01,868907
2011-02,868907
2011-03,868907
2011-04,868907
2011-05,868907
2011-06,868907
2011-07,868907
2011-08,868907
2011-09,868907
2011-10,868907
2011-11,868907
2011-12,868907
2012-01,962808
2012-02,962808
2012-03,962808
2012-04,962808
2012-05,962808
2012-06,962808
2012-07,962808
2012-08,962808
2012-09,962808
2012-10,962808
2012-11,962808
2012-12,962808
2013-01,1039524
2013-02,1039524
2013-03,1039524
2013-04,1039524
2013-05,1039524
2013-06,1039524
2013-07,1039524
2013-08,1039524
2013-09,1039524
2013-10,1039524
2013-11,1039524
2013-12,1039524
2014-01,1131335
2014-02,1131335
2014-03,1131335
2014-04,1131335
2014-05,1131335
2014-06,1131335
2014-07,1131335
2014-08,1131335
2014-09,1131335
2014-10,1131335
2014-11,1131335
2014-12,1131335
